	title	cn	_merge
201	Title: An atlas of African history / by J. D. Fage. 	G2446.S1 F3 1963	left_only
202	Title: The new atlas of African history / G.S.P. 	G2446.S1 F73 1991	left_only
203	Title: The History of cartography / edited by J.B. Harley and 	GA201 .H53 1987	left_only
204	Title: Medieval maps / P.D.A. Harvey. 	GA221 .H37 1991	left_only
205	Title: Maps of the ancient sea kings; evidence of advanced 	GA300 .H3	left_only
206	Title: The Vinland map and the Tartar relation, by R. A. 	GA308.V5 S5	left_only
207	Title: Goode's School atlas; physical, political, and 	GA321 1943	left_only
208	Title: Physical elements of geography [by] Glenn T. 	GB55 .T72	left_only
209	Title: Geomorphology from space : a global overview of 	GB400.42.R4 G46 1986	left_only
210	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 1	left_only
211	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 2	left_only
212	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 3	left_only
213	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 4	left_only
214	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 4	left_only
215	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 5	left_only
216	Title: Plan for New York City, 1969 : a proposal. 	HT168.N5 A5 V. 6	left_only
217	Title: Look to the schoolhouses : the report of a study made 	LB3218.M3 H3	left_only
218	Title: The World atlas of architecture / foreword by John 	NA200 .G76 1984	both
219	Title: The Cambridge atlas of astronomy / edited by Jean 	QB65 .C35 1988	left_only
220	Title: Cambridge star atlas 2000.0 / Wil Tirion. 	QB65 .T57 1991	both
221	Title: The Cambridge photographic atlas of the planets / 	QB605 .B74 1982	left_only
222	Title: The NASA atlas of the solar system / [cartographic 	QB605 .G7 1997	both
223	Title: Atlas of the vertebrate brain: morphological evolution 	QL937 .I43	left_only
224	Title: Agricultural atlas of New York State / Richard Beach 	S451.N56 .B4	left_only
225	Title: Atlas of the world's religions / [cartographic 	BL85 .A85 2007	right_only
226	Title: The sacred bridge [cartographic material] : Carta's 	BS630 .R356 2006	right_only
227	Title: The Collegeville atlas of the Bible / Jay Harpur and 	BS635.2 .H38 1999	right_only
228	Title: Peoples and places of the past : the National 	CB311 .P44 1983	right_only
229	Title: An historical atlas of Kent / edited by Terence Lawson 	DA670.K3 H55 2004	right_only
230	Title: Historical atlas of South-West England / edited by 	DA670.W49 H57 1999	right_only
231	Title: Survey of all lands and tenements belonging to the 	DA681 .T7412 1940	right_only
232	Title: Survey of all lands and tenements belonging to the 	DA681 .T7413 1941	right_only
233	Title: Survey of all lands and tenements belonging to the 	DA681 .T74 1938	right_only
234	Title: Seventeenth century plans of properties belonging to 	DA687.S115 S47 1950	right_only
235	Title: Mapping Meath in the early nineteenth century : with 	DA990.M4 H67 2007	right_only
236	Title: Balkan battlegrounds : a military history of the 	DR1313 .B348 2002 V. MAPS	right_only
237	Title: Administrative subdivisions of Japan : atlas. 	DS805 .U52 ATLAS	right_only
238	Title: American Indians and Alaska Natives in the United 	E98.C17 U6 2010	right_only
239	Title: The West Point atlas of American Wars / chief editor: 	E181 .E7 V. 1	right_only
240	Title: The West Point atlas of American Wars / chief editor: 	E181 .E7 V. 2	right_only
241	Title: Atlas of the Civil War / by Steven Woodworth and 	E468 .W754 2004	right_only
242	Title: Atlas of the Civil War, month by month : major battles 	E470 .S94 2004	right_only
243	Title: The official atlas of the Civil War [cartographic 	E740 .A4 1958	right_only
244	Title: The Adirondack atlas : a geographic portrait of the 	F127.A2 J46 2004	right_only
245	Title: New York [cartographic material] : the city's land 		right_only
246	Title: Sanborn landbook, the Bronx, New York [cartographic 	F128.B8 S263 2005	right_only
247	Title: Historical atlas of the Pacific Northwest : maps of 	F851 .H38 1999	right_only
248	Title: The Clementine atlas of the moon / [cartographic 	G1000.3 .B8 2004	right_only
249	Title: National Geographic atlas of the world / [chief 	G1019 .N36 1992	right_only
250	Title: The New York Times atlas of the world; in 	G1019 .N49	right_only
251	Title: Rand McNally cosmopolitan world atlas. 	G1019 .R3 1981	right_only
252	Title: International world atlas. - 	G1019 .R33 1961	right_only
253	Title: The Times survey atlas of the world / a comprehensive 	G1019 .T5 1922	right_only
254	Title: The Times atlas of the world / produced and published 	G1019 .T52 1975	right_only
255	Title: Atlas of the world. 	G1021 .A85 1992	right_only
256	Title: Atlas of the world. 	G1021 .A85 1993	right_only
257	Title: Atlas of the world / [cartographic material] / 	G1021 .A85 2001	right_only
258	Title: Atlas of the world / [cartographic material] / 	G1021 .A85 2003	right_only
259	Title: Oxford atlas of the world / [cartographic material] / 	G1021 .A85 2006	right_only
260	Title: Oxford atlas of the world / [text, Keith Lye ; 	G1021 .A85 2011	right_only
261	Title: Collins essential atlas of the world [cartographic 	G1021 .C65 1998	right_only
262	Title: Encyclopedic world atlas / [cartographic material] / 	G1021 .G42 2002	right_only
263	Title: Essential world atlas [cartographic material] / 	G1021 .G425 2011	right_only
264	Title: Oxford new concise world atlas / [cartographic 	G1021 .G4337 2003	right_only
265	Title: Hammond atlas of the world. 	G1021 .H2665 1993	right_only
266	Title: Hammond new century world atlas [cartographic 	G1021 .H2735 1999	right_only
267	Title: Collins world atlas [cartographic material] : clear 	G1021 .H59846 2010	right_only
268	Title: The book of the world [cartographic material]. 	G1021 .K37 1996	right_only
269	Title: National Geographic visual atlas of the world 	G1021 .N44 2009	right_only
