	title	cn	_merge
130	Title: Atlas lingüístico y etnográfico de Andalucía / 	G1968.A5 A5 1961 V.6	right_only
131	Title: Rome 1748 Roma [cartographic material] : la Pianta 	G1989.24.R7 N58 1991	right_only
132	Title: An historical atlas of Central Asia / [cartographic 	G2202.21.S1 B7 2003	right_only
133	Title: Bible map guide [cartographic material] / Common 	G2230 .C67 2011	right_only
134	Title: The Harper atlas of the Bible / edited by James B. 	G2230 .H47 1987	right_only
135	Title: General maps of Persia 1477-1925 / [cartographic 	G2256.S1 Z92 2005	right_only
136	Title: A historical atlas of South Asia / [cartographic 	G2261.S1 H5 1978	right_only
137	Title: A historical atlas of South Asia / edited by Joseph E. 	G2261.S1 H5 1992	right_only
138	Title: Atlas of women and men in India / [cartographic 	G2281.E1 R3 1999	right_only
139	Title: The Population atlas of China / compiled and edited by 	G2306.E2 P6 1987	right_only
140	Title: The national economic atlas of China / supported by 	G2306.G1 N3 1994	right_only
141	Title: The national economic atlas of China / supported by 	G2306.G1 N3 1994 BOOK 1	right_only
142	Title: The national economic atlas of China / supported by 	G2306.G1 N3 1994 BOOK 2	right_only
143	Title: The national economic atlas of China / supported by 	G2306.G1 N3 1994 BOOK 3	right_only
144	Title: The national economic atlas of China / supported by 	G2306.G1 N3 1994 BOOK 4	right_only
145	Title: Atlas of Japan: physical, economic, and social. 	G2355 .K6 1970	right_only
146	Title: The atlas of Africa / Régine Van Chi-Bonnardel. 	G2445 .N48	right_only
147	Title: Africa's lakes [cartographic material] : atlas of our 	G2446.C2 A37 2006	right_only
148	Title: Historical atlas of Africa / general editors, J.F. Ade 	G2446.S1 H5 1985	right_only
149	Title: Atlas of the Valley of the Kings / [cartographic 	G2492.V3 A8 2003	right_only
150	Title: Kenya : atlas of our changing environment. 	G2531.G3 K46 2009	right_only
151	Title: The Rand McNally atlas of the oceans / [editor, Martyn 	G2800.C7 R3	right_only
152	Title: Ocean [cartographic material] : an illustrated atlas / 	G2800 .E24 2009	right_only
153	Title: The Times atlas of the oceans / editor, Alastair 	G2800 .T5 1983	right_only
154	Title: World atlas of the oceans [cartographic material] : 	G2800 .W4413 2001	right_only
155	Title: Atlas of the Pacific Islands / Max Quanchi. 	G2860 .Q36 2003	right_only
156	Title: World reference map / [cartographic material] / 	G3200 2000 .G4	right_only
157	Title: World reference map / [cartographic material] / 	G3200 2001 .G4	right_only
158	Title: Political map of the world, April 2004 [cartographic 	G3200 2004 .U5	right_only
159	Title: Political map of the world, April 2005 [cartographic 	G3200 2005 .U5	right_only
160	Title: World reference map / [cartographic material] / 	G3200 2006 .G4	right_only
161	Title: Political map of the world, April 2006 [cartographic 	G3200 2006 .U5	right_only
162	Title: Political map of the world, June 2012 [cartographic 	G3200 2012 .U5	right_only
163	Title: Standard time zones of the world [cartographer 	G3201.B2 2012 .U5	right_only
164	Title: World atlas of natural hazards / Bill McGuire ... [et 	G3201.C1 2004 .W67	right_only
165	Title: Physical map of the world, April 2005 [cartographic 	G3201.C2 2005 .U5	right_only
166	Title: Physical map of the world, April 2006 [cartographic 	G3201.C2 2006 .U5	right_only
167	Title: Physical map of the world, June 2012 [cartographic 	G3201.C2 2012 .U5	right_only
168	Title: The most intense tropical storms of 1997 [cartographic 	G3201.C86 1997 .N2	right_only
169	Title: The most intense tropical storms of 1998 [cartographic 	G3201.C86 1998 .N2	right_only
170	Title: United States Foreign Service posts and Department of 	G3201.F55 1996 .U5	right_only
171	Title: United States foreign service posts and Department of 	G3201.F55 2003 .U5	right_only
172	Title: Map of the world oceans, October 2012 [cartographic 	G3201 .P54 2012 .U5	right_only
